Tweets,Sentiment_Score,Relative_Time,Continent_Code,Reach
a day in the life of elon musk he seems really busy managing both companies in the same time tesla amp space x doing meetings and calls all day long and maybe tweeting about dogecoin and bitcoin is he manipulating the market crypto nftcommunity nft,2,20,NAM,86
bigfund quite a day in bitcoin goldman sachs says it s a new asset class ray dalio prefers bitcoin to bonds elon musk mak,2,6,NAM,82
the documents reveal that monkeys had their brains mutilated in shoddy experiments and were left to suffer and die ht,0,0,NAM,69
thinking about how elon musk,2,10,NAM,41
trending on lunarcrush will elon musk run starlink soon accept dogecoin doge via top coin mentions doge,2,18,NAM,7
dogecoin gains 8 after elon musk says doge payments compete with bitcoin ethereum litecoin ethereum trading cryptocurrency,2,11,NAM,27
to make this money no easy at all elon musk,2,23,NAM,47
these spam bots pop up every few days another popular name is elon musk just block them all until the real one appears,0,4,NAM,41
doctors allege elon musk funded primate research violated law thehill,0,23,NAM,24
as a doge enthusiast the only thing im certain of now is the catecoin flippening is inevitable to quote elon musk,2,14,AUS,27
keep up eu finally unveils 5bn rival to uk s revolutionary space network 6 years late,2,5,AUS,50
elon musk try our new firmware this ups your top speed by 7 miles per hour if you ever slow down your car explodes the new york fucking times exploding cars masks bernie sanders blamed,0,10,AUS,3
vitalik and elon musk please stop adding me to your 50 eth giveaway,2,8,AUS,48
elon musk south african but can t buy tesla cars in south africa bc we re too poor he was so smart to  get out while he could,2,16,AUS,32
it s been several years since tesla acquired solarcity for around 2 6 billion why hasn t tesla s solar business taken off as well,2,11,AUS,36
elon musk s neuralink admits to killing eight animals during brain chip trials elon recently announced that neuralink was preparing to launch human,0,1,AUS,7
idk why people are more concerned with billionaires paying taxes and not corrupt politicians trimming money off the top,0,17,AUS,24
who has elon musk dated girlfriends list dating history,2,4,AUS,22
records elon musk x ft coming this friday pre save,2,10,AUS,47
elon musk made one of the largest donations to charity in history,2,8,AUS,47
breaking the world s richest man elon musk ignites outrage in the jewish community by posting an adolf hitler meme ,0,17,AUS,55
corporate greed is tesla paying 0 in federal income tax last year after making a 5 5 billion profit cutting the media,2,13,AUS,16
elon musk ramps up criticism of trudeau by tweeting hitler comparison meme,0,0,AUS,11
elon musk tweet compares justin trudeau to hitler,2,23,AUS,28
tesla ceo elon musk accuses sec of calculated effor to chill his right to free speech,2,11,AUS,51
people are constantly shouting about the virtues of the so called great books but i had to go on twitter to learn that there are nine books on elon musk s reading list that can change my life this is why we need alternative institutions,4,22,AUS,15
while elon musk has his sights set on mars liberals are naval gazing about what pronoun they are,2,16,AUS,36
constantly think about how you could be doing things better and keep questioning yourself elon musk,2,24,AUS,23
elon musk is very interested in canada right now because if he can get cad to dip enough he can invest in canadian manufacturing and look like a hero,2,21,AUS,32
i am 250b away from being richer than elon musk,4,16,AUS,19
is it just me or does he have the most punchable face he s such an ass,0,19,AUS,36
elon musk compared prime minister justin trudeau with adolf hitler in a tweet that appeared to suppot ruckers protesting vaccine mandates which immediately triggered a storm on twitter,2,6,AUS,29
elon musk has reiterated his reasons for founding spacex to buy humanity an insurance policy against existential risks b,2,21,AUS,15
bernie sanders and elon musk parody bernie is still fighting,2,16,AUS,28
elon musk says spacex has bought bitcoin personally owns ethereum dogecoin elonmusk spacex,2,7,AUS,8
fuck off just take your rocket ship to mars already elon musk is a security risk,0,16,AUS,20
i think elon musk is about to find out the hard way that ppc voters don t buy electric cars,2,19,AUS,26
even if i was a giant elon musk fan i d probably keep my head down when he s in a beef with a holocaust museum,0,14,AUS,54
shut up he is elon musk money does not buy iq for you,0,21,AUS,27
reynolds8 elon musk is an idiot for targeting his own demographic people,0,18,AUS,6
don t compare kanye to geniuses in music compare him to steve jobs henry ford walt disney elon musk ,2,3,AUS,21
elon musk is why we ll never have teslas in our family,2,17,AUS,54
it s past time to boycott everything elon musk,0,15,AUS,8
my saxophone cover of elon musk by ddg featuring gunna elonmusk follow me on spotify,2,4,AUS,36
elon musk s spacex is splitting the value of its common stock 10 for 1,2,14,AUS,43
we need less fucking morons like elon musk in this world,0,1,AUS,3
elon musk s boring company has submitted a proposal for a 6 2 mile underground transit system in miami,2,0,AUS,10
elon musk was right about justin trudeau,2,4,AUS,22
0x they are all part of the plan and sadly the hard working canadian will pay dearly for taking the bait like people believing in elon musk helping the c truckers total bs go check out shoutout today for musk they at laughing at everyone,0,23,AUS,51
how elon musk plans to fix soul destroying traffic in texas miami via tunnels,4,23,AUS,21
new york post elon musk tweet compares justin trudeau to hitler via,2,17,AUS,29
i will be richer than elon musk this week amen,4,18,AUS,6
elon musk has all the traits of a sociopath and scares,0,0,AUS,35
you mean elon musk hyped that and a lot of people react,2,23,AUS,37
i mean in a world when elon musk and grimes named their kid after the dial up noise i can t really get all worked up over quill,2,0,AUS,22
i just think joe rogan jordan peterson and elon musk are the philosophers of our time,4,17,AUS,19
david frum triggered by elon musk for comparing trudeau to hitler after he compared trump to hitler for years ,2,19,AUS,45
beautiful car easily better looking than tesla better range than tesla and 0 go to elon musk the suv looks amazing too,4,16,AUS,23
california has filed a civil rights lawsuit against elon musk s tesla based on shocking evidence,2,16,AUS,48
elon musk just liked this tweet dogecoin,2,22,AUS,44
elon musk didn t anwser,2,5,AUS,52
US securities regulators responded to allegations that they are harassing elon musk writing in a letter,2,24,AUS,6
elon musk is so weird he could have been steve jobs but he d rather be donald trump,0,23,AUS,19
pump1 they will sue safemoon but not elon musk the biggest pump and bumper,0,20,AUS,30
elon musk says tesla to accept dogecoin as payment at supercharging stations cryptocurrency from reddit,2,24,AUS,8
agree i m sooooo tired of elon musk i was once so proud now i m embarrassed to drive my tesla,0,16,AUS,34
i been hacked 2 3rds my apes gone,0,4,AUS,51
elon musk s spacex proposing 10 for 1 split of privately held shares repobenzinga,2,17,AUS,26
if elon musk did not exist it would be a pretty hopeless depressing world right now,4,14,AUS,2
elon musk is opening up a futuristic drive in theater that accepts dogecoin,2,19,AUS,11
cat did you read any of the articles in my thread because your tweet sounds completely divorced from reality or any of the facts these articles present elon isn t involved carbon offsets or nfts as far as i know try harder,2,18,AUS,29
is elon musk one of the good guys hugo talks,2,20,ASI,4
i did mentionned how many people s elon feed around the world not just tesla employees infrastructures to small commercials thanks elon if you thinks tesla stock is overvalued eco system off grid you house value ways more efficiency,4,12,ASI,38
i compare elon musk to a racist coward from the 20th century,0,19,ASI,9
mark zuckerberg is a living robot elon musk is experimenting on monkeys and bill gates is constantly ducking africa genocide allegations but kanye is the crazy billionaire lunatic cos he posts memes on social media,0,21,ASI,21119
how did elon musk do it what is his story how did he make it what can we learn from him come to see this livestrearn video on zoom february 22 2022 at 6 pm register for free at,2,18,ASI,46
elon musk isn t an aerospace engineer but he sure knows a ton about building and launching rockets who knows what gates has going on in some far away place buried under multiple shell companies,2,1,ASI,5
elon musk intensifies,2,14,ASI,37
elon musk once again reminded everyone why it s important not to trust a billionaire populist right wing populism,2,24,ASI,5
elon musk can you say webfour only once,2,17,ASI,52
i m not the biggest proponent of hydrogen success is not one of the possible outcomes elon musk musk,2,22,ASI,1
revealed elon musk s new lover is australian actress natasha bassett 27 who will appear as elvis s first girlfriend in upcoming presley biopic,2,1,ASI,12
sec responds to elon musk harassment allegations,2,24,ASI,41
elon musk said a futuristic diner drive in theater is planned for the hollywood area and you will be able to pay with dogecoin,2,23,ASI,4
educate yourself,2,0,ASI,7
elon musk liked a tweet from whole mars catalog tesla tsla spacex,2,9,ASI,44
your tweet was quoted in an article by engadget,2,23,ASI,3
tesla s first dogecoin supercharger opens musk revises plans for diner and drive in by,2,10,ASI,40
elon musk says tesla to accept dogecoin as payment at supercharging stations doge dogecoin dogecoins,2,24,ASI,12
elon musk says tesla to accept dogecoin as payment at supercharging stations tsla,2,12,ASI,11
elon musk is my guess,2,12,ASI,11
i hope one day elon musk talks about unimoon,2,20,ASI,8
sec refutes the claim that the agency is targeting elon musk,2,7,ASI,52
elon musk is the backbone of dogecoin,2,0,ASI,36
force why did steve jobs die early he was the darling of the previous decades but he would have eclipsed elon musk had he stayed alive now elon musk is the darling what will i do if elon musk is eclipsing the next person elon musk better worry,2,11,ASI,33
stop defending billionaires,2,11,ASI,29
i tweet a fair sum about elon musk why because his humanity is ever evident he is both genius and everyman a wonderful example of complexity and a tremendous contributor to the world strive elon strive,4,17,ASI,14
nft when something is important enough you do it even if the odds are not in your favor elon musk spread your wings and fly,4,1,ASI,19
made a song inspired by you titled elon musk give it a listen,4,16,ASI,54
does not rule out that it will soon be possible to pay with dogecoin in spacex and starlink,2,8,ASI,4
mom said that if i want a car then ask elon musk for a tesla so i now formally ask the great elon musk if he can send me a tesla,4,21,ASI,42
mei21 maher has slowly drifted rightward for some time at best he is a libertarian in the mould of say elon musk not a liberal certainly not a progressive sometimes the millions you pile up does that to your soul i suppose it is painful to watch him anymore i no longer do,0,8,ASI,5
fcuk elon musk and trudeau,0,6,ASI,1
fun fact space x ceo elon musk had a child on may the fourth or maybe it was may the force,2,3,ASI,40
how dare you say such idiotic stuff you can disagree but don t be so dumb and ignorant do you need more attention fly to uranus and stay there,0,9,ASI,34
last i checked there are big fences around downtown ottawa elon musk s satellite dish has been confiscated by the police,0,24,ASI,0
we all need to ask ourselves why are greedy narcissistic billionaires elon musk peter thiel robeamp rebecca mercer,0,9,ASI,31
putin is elon musk s father,2,19,ASI,2
elon musk is pro nuclear i think modern nuclear power plants are safe contrary to what people may think the tesla and spacex ceo said i really think it s possible to make very extremely safe nuclear,2,12,ASI,50
elon musk fake,0,4,ASI,47
average human s annual carbon emissions 4 5 tons average american s annual carbon emissions 15 2 tons elon musk s s a,2,17,ASI,37
i like elon musk but only dick heads and assholes drive tesla who wants drive a grown up rc car and think your really saving thr environment hydrogen is the future and you can still have your combustible engines to be converted,0,23,ASI,15
tesla ceo elon musk s lawyer alleges that sec leaked info from federal investigation,2,23,ASI,13
do it or i bloow up mars to mess with elon musk,2,18,ASI,23
one of the worst things i see in musk posts is a fanatism independent of what he says elon musk is not a god he is not a genius he is indeed a instruments of all in 1959 someone already imagine rockets like falcons don t believe see 5th dimension we lose knowledge so quickly,0,20,ASI,46
yes extremely crappy policies even elon musk says we will always need fossil fuels in my opinion we should be diversified to not waste our resources we have and to not be so heavily dependent to one option,0,17,ASI,18
muskdoge project dedicated to great elon musk and do read our website for all details ,4,24,ASI,44
how can you be a class reductionist when you never read marx you could not successfully identify the labor class,2,9,ASI,32
unless you work for elon musk your employer might be interested in this,2,1,ASI,9
tsla musk says he would do the right thing if biden invited him to the white house,2,15,ASI,19
this is just peeling back the first layer of the corruption onion musk said to us stay tuned,2,15,ASI,12
elon musk explains how he will get us to mars,2,18,SAM,37
elon musk accuses biden of ignoring tesla says he would do the right thing at white house,2,7,SAM,15
elon musk says the white house has nothing to worry about if they invited him to speak at an event,2,6,SAM,7
watch elon musk announce tesla bot in 10 minutes teslabot robotics humanoid robot autonomous singularity futureofwork,2,5,SAM,7
billionaire jared isaacman piloting first all civilian spaceflight,2,5,SAM,47
time is a marketing stunt made by elon musk,2,9,SAM,28
we will say bernie trashed the one man helping to solve the climate crisis the most elon musk,2,16,SAM,41
elon should stick to smoking pot,2,12,SAM,25
bernie people with 38937494848478484848484 should pay some taxes lowkey elon musk u sshould be dead,0,17,SAM,50
elon musk replied to,2,6,SAM,36
elon musk and his legal team escalate war of words with sec,0,10,SAM,0
hey man i don t believe that is elon musk s account the is wrong i believe it s a scammer i just letting you know cause i don t want you to lose any of your money to a scammer,2,11,SAM,7
elon musk s wife posted this back in the 2019 before the pandemic,2,6,SAM,25
just did my taxes me and elon musk combined have paid in over 11 billion in taxes your welcome try not to blow it,4,4,SAM,35
when he s not building rockets boring tunnels beneath los angeles or sending cars into space elon musk reads a lot here,4,16,SAM,53
tesla s elon musk is not getting white house invites because advisors fear he might say something that could embarrass,2,13,SAM,21
jordan peterson s opinion after meeting elon musk ,2,6,SAM,24
spacex is going to put a literal dogecoin on the literal moon elon musk dogecoin doge dogecointothemoon,2,6,SAM,20
elon musk new girlfriend,2,6,SAM,40
elon musk has through his tesla motor company purchased 1 5 billion of bitcoin with the cash reserves,2,20,SAM,31
rick ross and elon musk at the donda2 event,2,18,SAM,16
elon musk at kanye s event,2,16,SAM,39
elon musk isn t sending shots he s launching missiles at vitalik and ethereum,2,19,SAM,55
elon musk and the teenager tracking the private jets of billionaires,2,21,SAM,20
elon musk is skeptical of putting lidar sensors on vehicles but a growing number of his competitors are not,2,5,SAM,13
hard work pays off so far this week elon musk michael saylor and vitalik have all added me to a special list on twitter,4,16,SAM,55
musk is a gret man,4,2,SAM,3
I love elon musk,4,18,SAM,6
theres only one person who realy cares for humanity,4,17,SAM,26
I wish there were more ppl like elon,4,16,SAM,49
he has best technology and ideas ,4,15,SAM,52
he deserv to be rich,4,22,SAM,17
elon should run for president,4,14,SAM,38
at least he is better than biden,4,16,SAM,9
I absolutley addore elon musk,4,17,SAM,40
elon is a trully great man he supports the poor and is against war,4,20,SAM,34
I think he is very funny and smart,4,3,SAM,1
best guy everr!!!!!!,4,19,SAM,22
liverpool defend press like bcoz mean player sake difference watch real madrid defended goal mind really actually defend,2,10,EUR,17
new form new gun behold big gun shoot slow moving ball energy invisible tracer damage target view player detonated either surface enemy sorry get one ammo lol,0,10,EUR,48
happy birthday keep good work straight ally,4,16,EUR,28
semi final worked well firmino dropping deep jota making inside run left jota firmino salah front final uno,4,16,EUR,35
yes liverpool still banned still win stop making lame excuse constant european failure,0,18,EUR,20
absolutely bossed flav say chelsea liverpool manchester city bigger game spur fan odd bunch,2,4,EUR,18
tone said problem fan dissing henry always negative towards team someone failed woefully monaco constant berating team uncalled quite obvious blind arteta building,0,7,SAM,17
sensitive information never revealed security reason american never publish actual number nuclear source authentic,0,12,SAM,46
commentating saturday reminiscing game amp luis suarez hit absolutely insane think thierry henry best talented player ever,4,21,EUR,47
levy want see flaw lie academy saka esr patino martinelli academy tottenham academy dead,0,0,EUR,1
distributor added another counter display surge protector display reach sale representative get one today learn contractor prefer rsh series surge protection visit,2,16,NAM,54
right according wining amp draw united finishing second tell according knowledge fail table end,0,2,SAM,7
think permanent place fly list serious crime found guilty court would powerful detergent eco friendly risk munition hurting innocent bystander,2,21,NAM,53
impossible happening atm see making top season took foot pedal recently united wolf west ham seem consistent race top aforementioned game hand,0,18,EUR,38
may like idea move time amp revenue city moved etihad west ham moved moved spur moved even southampton back day need state art day state art training ground,2,19,EUR,47
least robbie fan like influencing kid like goldbridge,4,16,EUR,31
watching luis diaz play liverpool tell one player always score,4,3,EUR,37
misread tweet basically saying better young player liverpool,0,24,EUR,0
funny one ever worn shirt said anything sensible,0,1,SAM,26
champion league convos beg fan chat club level like burnley brighton,0,8,EUR,25
impressive thing klopp done imo example buy mane salah good make world class system creates way playing dominant buy best player world make,4,16,EUR,61
never bad playing italian team first english team win san siro check fact,0,0,EUR,89
look like gunnersaurus would buy make sure kid never support,0,18,NAM,34
like see play champion league though goodluck team,4,6,EUR,117
care anyone say alexis sanchez absolute baller one favourite time player gave everything happy flopped united though,4,22,EUR,61
alexis simply best player emirate era could argued fabregas rvp ozil anywhere near time chap,4,11,EUR,45
real madrid team cheer huge fan many individual player,4,7,NAM,57
two former player serving champion pundit competition hurt see honest really hope get back,0,15,NAM,76
people really like lacazette thing david period,0,13,NAM,21
worse time perfect time say make top season would failure,2,15,EUR,80
wolf still moaning loss celebration better smash home watch,4,20,EUR,15
hey boy listen want believe building something stop playing sluggish football start scoring opponent like man city game sometimes slow sluggish end becomes draw game want smart game,0,11,SAM,50
worry buddy ever cody got got let focus next step kidd one thing check get chance got move think would great,0,19,EUR,49
exactly played european competition minimum get top big team year europe bounced straight back next season fail,0,14,EUR,98
club spend mill expected get least current excuse young team like wenger already year year dispite much resource like almost year rebuild,0,23,EUR,38
brexit tory slasher film libertarian fox news ignorance nigel farage bigotry,2,3,EUR,93
wow according guy fraud manager world football fuck god help fan like even kit man let alone manager,0,10,EUR,45
supporter baltimore come join saturday morning abbey federal hill gunner take brentford kickoff peacock,4,7,NAM,3
seems like dgw aswell would transfer future player would probably,4,23,EUR,104
right back never played position want young right back probably get know right back,4,7,EUR,99
would love amp appreciate support great discussion debate bants check subscribe channel,2,10,EUR,36
get decent result spur guy back need get goal flowing,4,21,EUR,61
club close heart say back visit whenever played director edu mikel arteta everton feel good connection,4,2,SAM,32
wenger finished wenger emery finished get europa final emery arteta finished season back back need meantime emery beat europa point behind madrid still waiting top,4,6,SAM,111
say arteta still walk even finish catch full hour long gunner podcast danny,2,13,EUR,116
someone said joe gomez would start lol someone make first team,0,8,EUR,111
think joe gomez would choice bit pedantic point definitely start gabriel white,2,14,EUR,14
sign top right back joe gomez would choice centre back,2,18,EUR,29
bravo biden top labor lawyer use whole enforcement bloomberg businessweek,4,18,NAM,37
skippy amp lucky going race starter amp official leprechaun grand slamrock strike lucky mile amp leprechaun chase mile stadium registered yet skip,2,3,NAM,0
seems political class sometimes forgets conflict involves country largest nuclear crazy dude mountain sure serious implication joke,0,14,EUR,47
yes got great player chance massively downplaying west ham amp united every bit poor amp frequently drop point enough game hand day ago amp tactically outclassed mid table team embarrassing,0,5,EUR,111
rival fan banned talking still see city fan talking saka left back big,0,11,EUR,11
tank weapon machine russia whether country use invade unclear,2,12,NAM,16
kylian mbappe mix thierry henry ronaldo tipped lionel messi real madrid icon say paris star good make scream,4,7,SAM,58
custard cream barb fan chattin wham arl twitter,4,5,EUR,2
would take maguire pogba bissaka people call crazy however remember structure key top player perform said jorginho chelsea shit lampard would love people laughed good jorginho since right structure,4,21,EUR,76
talk entzy think sunoo yuna would bestest besties sunghoon chaeryeong would hit well ryujin jungwon friend would dangerous combo omg jungwon gossip ryujin ready use,4,22,EUR,71
think shoulda framed would disappointed get top season opposed said would disappointed even though see thing like top improvement part plan,4,6,NAM,5
watch without babysat van dijk seen england lost depth gomez end nowhere near back line,0,23,EUR,28
good bye boris candle wind panic among ally know brexit unravelling,0,10,EUR,14
hanging onto power claw remaining head state still clinging russian invasion fantasy,0,4,NAM,32
panic among ally know brexit unravelling began unravelling morning referendum result substance nothing pile empty promise catalogue lie,0,15,EUR,67
brexit completely dependent serial liar article michael heseltine worth read,0,0,EUR,96
wish politician calibre around panic among ally know brexit unravelling michael heseltine,0,23,EUR,120
mixed signal russia say bit like mixed covid rule amp boozy party aka staff meeting,0,21,EUR,96
journo said chinese ppl around idea going meanwhile roasting weibo leaving post putin,0,5,NAM,102
boris brexit panic among ally know brexit unravelling michael heseltine,0,3,EUR,69
guardian panic among ally know brexit unravelling worth read via,0,24,EUR,65
trump shake hand first time immediately bounce like two guy wearing inflatable sumo suit,0,14,EUR,24
thank god clownish shamble leading russian crisis rather jeremy corbyn,0,15,EUR,110
panic among ally know brexit unravelling air desperation attack right supporter press fear johnson fall brexit deception crumble,0,12,EUR,0
must return cash donated tory say starmer,0,2,NAM,117
lord heseltine speaks johnson panic among ally know brexit unravelling michael heseltine,0,10,EUR,115
andy vermaut share say little evidence russia withdrawing british prime minister said wednesday currently little evidence russia disengaging military buildup near thank,0,22,EUR,96
little evidence russia withdrawing say boris johnson,0,0,ASI,112
talking russia banking vulnerability hand britain titan christiane tell british bank hsbc tie dark money drug profiteering devoted much,0,12,NAM,50
chrissie like queen practically everyone whole though prefer republic ceremonial president,0,5,EUR,60
separate politics public health vote said would got vaccinated trump,0,18,EUR,17
check article amp video new york time subscriber able read free destructive liar usa treatise boris amp trump,0,5,NAM,122
great piece michael heseltine guardian following last week guardian extraction john major coruscating attack johnson page refuge panic among ally know brexit unravelling,0,0,EUR,25
first thing corrupt tory government ought handing back dirty russian money vladimir putin never take tory seriously receipt,0,13,EUR,111
blair mcdougall said would never become scaremongering,0,4,EUR,80
video call thursday prime minister counterpart scott morrison also called peace stability across warned invading,2,15,AUS,27
awful lot russian connection amp donation amp dwindling ally,0,4,EUR,50
prime minister johnson evidence russia withdrawing border,2,18,ASI,3
poll latest opinion polling say keir starmer popularity inews,2,22,EUR,48
russia withdrawal never threat first place hoax russia announced training exercise month ago hello reuse putin played along ensure energy price amp get rich medium propaganda,0,21,NAM,32
bbc report school england given guidance avoid biased teaching lesson let tory anywhere near classroom,0,21,EUR,36
senior defence official converging adelaide inspect osborne shipyard scott morrison hold fresh talk pact,4,18,NAM,7
watched montage prime minister justin trudeau canada britain french president condemning attempted coup capitol launched urging behalf president trump,4,8,NAM,24
russia withdrawal never threat first place hoax amp money grab energy profit actually bought shish story reuse putin played along ensure energy price amp get rich,0,9,EUR,22
labour party leader keir starmer encourages prime minister return million million dirty cash donated ruling party say necessary reduce russian influence,0,2,ASI,47
must return cash donated tory say starmer,2,5,EUR,47
british prime minister said currently little evidence russia disengaging military buildup near phone call united nation antonio guterres,2,11,ASI,55
crisis plan talk world leader downing street warns juncture world news hold,0,10,EUR,16
top breaking urged russia step back military action saying stand shoulder shoulder kyiv russia blamed escalating tension,0,21,NAM,11
surprise brain chip company neuralink face animal abuse claim,2,11,NAM,28
brain chip startup facing slew animal abuse accusation via,0,10,EUR,51
standing front tesla showroom mall cardboard sign say gay also cheugy,0,19,NAM,15
making tax year pay lifetime good job,4,15,NAM,36
tell twitter user tesla feature coming canada via,4,22,NAM,23
tesla ceo donates billion stock food program receives nothing,0,10,ASI,32
want send people space want send people war,2,9,NAM,19
paid billion last year selling tesla sure follow,4,19,NAM,36
tesla predicts name compile aural super space heater demolish rice cooker industry forever say meta,4,15,NAM,29
expect endorsed democrat election hopefully happen bring minion trump antichrist,4,5,NAM,15
following instagram forever lady robyn denholm say board member tesla advised reach twitter foundation applied grant foundation approved legitimate please,2,10,NAM,28
tesla pay federal tax despite billion personal tax bill,2,19,NAM,8
sold tesla share last november nearly billion bounty given charity according sec received,4,16,NAM,20
someone tell trump pay tax debt fall onto american people stealing taxpayer,0,9,NAM,26
nobody mercy boeing rest launch business refused innovate decade still launching vehicle started life ballistic missile cold war designed economically lift cargo orbit,0,8,EUR,54
neuralink fends animal abuse claim criticism treatment monkey via,4,11,NAM,27
say tesla make political contribution even though absolutely,0,4,NAM,6
allegedly paid tax year politician president congressman american history combined paid entire life time teach,4,16,NAM,21
like similar trump need turn human empathy card,4,16,NAM,54
bad african american american african could run president,0,22,NAM,8
branded disaster world stage daily express told biden first year president absolute disaster free world,0,21,EUR,36
ever president need spied apt sell soul country family gain wealth,4,5,NAM,43
president rejected request former president donald trump shield white house visitor log committee investigating january attack capitol including appointment individual granted entry white house complex day,4,19,NAM,3
call president russian president vladimir putin part increased urgency toward administration,4,3,NAM,10
joe manchin give hard another major biden nominee likely killing nomination,0,15,NAM,22
trump loses release trump secret white house visitor log,4,12,NAM,51
continuing threat russia invading foreign policy crisis colliding one president political vulnerability rising gasoline price home,0,7,NAM,21
president ordering release trump visitor log house committee investigating january rejecting former president donald trump claim executive privilege,4,21,ASI,29
former vice president forbidden receiving communion altar rail sunday catholic church florence south carolina canvassing,2,12,NAM,6
biden order release trump white house log congress,4,1,NAM,35
reporter explains biden got putin blink russian force amassed near,4,2,NAM,37
wrong joe brandon putin could attack biden told ally via,2,18,EUR,22
new info committee investigating capitol riot finally get look trump white house visitor log,4,20,NAM,19
honestly believe hunter biden could respectable person corrupt father joe destroyed son best destroy country,0,14,NAM,45
high gas cost threat pose biden political risk,0,3,NAM,23
